"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1452","add item to cart","chromium","Thu Jan 29 20:48:25 CET 2026","passed","Thu Jan 29 20:48:27 CET 2026","","products.spec.ts","",""
"","842","invalid login shows error","webkit","Thu Jan 29 20:48:32 CET 2026","passed","Thu Jan 29 20:48:33 CET 2026","","login.spec.ts","",""
"","6748","complete checkout flow","firefox","Thu Jan 29 20:48:25 CET 2026","failed","Thu Jan 29 20:48:32 CET 2026","","checkout.spec.ts","",""
"","706","add item to cart","webkit","Thu Jan 29 20:48:33 CET 2026","passed","Thu Jan 29 20:48:34 CET 2026","","products.spec.ts","",""
"","1728","add item to cart","firefox","Thu Jan 29 20:48:28 CET 2026","passed","Thu Jan 29 20:48:30 CET 2026","","products.spec.ts","",""
"","1432","invalid login shows error","chromium","Thu Jan 29 20:48:25 CET 2026","passed","Thu Jan 29 20:48:27 CET 2026","","login.spec.ts","",""
"","6354","complete checkout flow","webkit","Thu Jan 29 20:48:31 CET 2026","failed","Thu Jan 29 20:48:38 CET 2026","","checkout.spec.ts","",""
"","1337","invalid login shows error","firefox","Thu Jan 29 20:48:28 CET 2026","passed","Thu Jan 29 20:48:29 CET 2026","","login.spec.ts","",""
"","6580","complete checkout flow","chromium","Thu Jan 29 20:48:25 CET 2026","failed","Thu Jan 29 20:48:32 CET 2026","","checkout.spec.ts","",""
"","1495","valid login","chromium","Thu Jan 29 20:48:25 CET 2026","passed","Thu Jan 29 20:48:27 CET 2026","","login.spec.ts","",""
"","995","valid login","webkit","Thu Jan 29 20:48:32 CET 2026","passed","Thu Jan 29 20:48:33 CET 2026","","login.spec.ts","",""
"","1445","valid login","firefox","Thu Jan 29 20:48:28 CET 2026","passed","Thu Jan 29 20:48:30 CET 2026","","login.spec.ts","",""
